freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/µF	Cp/µF	cycle number	|Ewe|/V	|I|/A	Ns	I Range	(Q-Qo)/mA.h	<Ece>/V	|Ece|/V	Phase(Zce)/deg	|Zce|/Ohm	Re(Zce)/Ohm	-Im(Zce)/Ohm	Phase(Zwe-ce)/deg	|Zwe-ce|/Ohm	Re(Zwe-ce)/Ohm	-Im(Zwe-ce)/Ohm	P/W	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	dq/mA.h	
1.0000186E+006	-2.9241573E+001	4.5741653E+001	5.4289673E+001	-1.2258984E+002	6.346163503756979E+004	1.3571516E+001	1.2807947E-005	3.4793667E-003	2.4699576E-003	1.000000000000000E+000	2.8144199E-004	5.1840798E-006	0	14	1.500449503134228E-009	1.3447320E+001	1.8069781E-004	4.3205238E+001	3.4856293E+001	2.5406961E+001	-2.3863098E+001	-9.9941147E+001	2.2212055E+001	-3.8346119E+000	2.1878555E+001	0.0000000E+000	-9.9212481E-003	1.5519489E-002	1.8419709E-002	1.2258984E+002	1.500449503134228E-009
6.7700600E+005	-1.3077118E+001	3.5164925E+001	3.7517769E+001	-1.1039914E+002	6.346215103759570E+004	1.3571962E+001	1.3798051E-005	6.6852546E-003	5.8730450E-003	1.000000000000000E+000	1.9143820E-004	5.1026009E-006	0	14	1.745224621825790E-009	1.3449686E+001	1.2022830E-004	1.6660383E+001	2.3562160E+001	2.2573044E+001	-6.7552285E+000	-7.1517822E+001	2.9954691E+001	9.4959259E+000	2.8409697E+001	0.0000000E+000	-9.2904773E-003	2.4982488E-002	2.6654037E-002	1.1039914E+002	2.447751186915624E-010
4.5833025E+005	-3.7463367E+000	3.6195190E+001	3.6388554E+001	-9.5909286E+001	6.346253603761503E+004	1.3571782E+001	1.4244049E-005	9.5938016E-003	9.4921123E-003	1.000000000000000E+000	1.8758303E-004	5.1550010E-006	0	14	5.799567742375049E-009	1.3447561E+001	1.4321879E-004	-2.8460993E+001	2.7782494E+001	2.4424749E+001	1.3240035E+001	-6.7300781E+001	5.3585804E+001	2.0678413E+001	4.9435226E+001	0.0000000E+000	-2.8292895E-003	2.7335137E-002	2.7481169E-002	9.5909286E+001	4.054343120549259E-009
3.1029172E+005	1.3878423E+001	3.6036575E+001	3.8616646E+001	-6.8937286E+001	6.346292103763449E+004	1.3571808E+001	1.8919134E-005	1.4233327E-002	1.2394938E-002	1.000000000000000E+000	1.8783707E-004	4.8641477E-006	0	14	2.321462930088577E-009	1.3448644E+001	1.8099965E-004	-4.9691597E+001	3.7210968E+001	2.4071836E+001	2.8376097E+001	-5.9494522E+001	7.4761055E+001	3.7950260E+001	6.4412674E+001	0.0000000E+000	9.3065985E-003	2.4165425E-002	2.5895569E-002	6.8937286E+001	-3.478104812286473E-009
2.1007459E+005	2.8782810E+001	1.8307480E+001	3.4111786E+001	-3.2458649E+001	6.346330603765382E+004	1.3571802E+001	1.6245232E-005	4.1382622E-002	1.1919725E-002	1.000000000000000E+000	1.6380652E-004	4.8020502E-006	0	14	1.157461639531397E-008	1.3447802E+001	2.8458919E-004	-6.5281746E+001	5.9264103E+001	2.4781670E+001	5.3834030E+001	-5.3406418E+001	8.9852943E+001	5.3564480E+001	7.2141510E+001	0.0000000E+000	2.4735702E-002	1.5733294E-002	2.9315380E-002	3.2458649E+001	9.253153465225398E-009
1.4222091E+005	1.6881842E+001	-4.7313714E+000	1.7532326E+001	1.5656269E+001	6.346356003766658E+004	1.3571827E+001	1.4752829E-005	-2.3652098E-001	-1.7225215E-002	1.000000000000000E+000	8.5652857E-005	4.8854249E-006	0	14	1.420199865719951E-008	1.3449325E+001	4.3116600E-004	-6.6093201E+001	8.8255577E+001	3.5765579E+001	8.0683769E+001	-5.5271717E+001	9.2414925E+001	5.2647423E+001	7.5952400E+001	0.0000000E+000	5.4921292E-002	-1.5392458E-002	5.7037499E-002	-1.5656269E+001	2.627382261885538E-009
9.6283031E+004	1.2319058E+001	-6.2986727E+000	1.3835913E+001	2.7080431E+001	6.346381403767935E+004	1.3571873E+001	1.4727431E-005	-2.6243475E-001	-5.4388087E-002	1.000000000000000E+000	6.6746223E-005	4.8241286E-006	0	14	1.929451500581712E-008	1.3446679E+001	5.9688522E-004	-6.3467690E+001	1.2372913E+002	5.5270100E+001	1.1069830E+002	-5.7080654E+001	1.2436871E+002	6.7589157E+001	1.0439962E+002	0.0000000E+000	6.4351983E-002	-3.2902841E-002	7.2275683E-002	-2.7080431E+001	5.092516348617613E-009
6.5181484E+004	6.2545838E+000	-7.0698390E+000	9.4394093E+000	4.8501278E+001	6.346419903769868E+004	1.3571795E+001	1.8989684E-005	-3.4537140E-001	-1.9373843E-001	1.000000000000000E+000	4.5938370E-005	4.8666575E-006	0	14	2.193729566830724E-008	1.3448362E+001	8.0024090E-004	-6.2602173E+001	1.6443336E+002	7.5666656E+001	1.4598935E+002	-5.9472023E+001	1.6127530E+002	8.1921242E+001	1.3891951E+002	0.0000000E+000	7.0195422E-002	-7.9345055E-002	1.0593883E-001	-4.8501278E+001	2.642780662490119E-009
4.4128563E+004	4.7040186E+000	-2.9616582E+000	5.5587058E+000	3.2194588E+001	6.346458403771813E+004	1.3571863E+001	1.4739714E-005	-1.2177703E+000	-3.4569088E-001	1.000000000000000E+000	2.6644817E-005	4.7933490E-006	0	14	1.980205580139227E-008	1.3446759E+001	1.0541540E-003	-6.1787006E+001	2.1992015E+002	1.0396739E+002	1.9379282E+002	-6.0340061E+001	2.1960420E+002	1.0867141E+002	1.9083116E+002	0.0000000E+000	1.5223750E-001	-9.5848992E-002	1.7989799E-001	-3.2194588E+001	-2.135239866914973E-009
2.9876783E+004	4.0209141E+000	-2.1939240E+000	4.5805078E+000	2.8618126E+001	6.346496903773746E+004	1.3571793E+001	1.6108226E-005	-2.4280896E+000	-5.5703264E-001	1.000000000000000E+000	2.1694334E-005	4.7362291E-006	0	14	2.197048939043119E-008	1.3448162E+001	1.3775907E-003	-5.9221123E+001	2.9086234E+002	1.4884187E+002	2.4989397E+002	-5.8320076E+001	2.9107104E+002	1.5286279E+002	2.4770004E+002	0.0000000E+000	1.9164501E-001	-1.0456692E-001	2.1831641E-001	-2.8618126E+001	2.168433589038920E-009
